Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
166336301,0,1,1,1,1,1,0
166340542,0,1,1,1,1,1,1
166340627,34,1,1,1,1,1,1
166340668,34,1,0,1,1,1,1
166340702,34,1,0,0,1,1,1
166340754,34,1,0,1,1,1,1
166340987,34,1,1,1,1,1,1
166340988,32,1,1,1,1,1,1
166341064,0,1,1,1,1,1,1
166341116,0,1,0,1,1,1,1
166341149,0,1,0,0,1,1,1
166341191,0,1,0,1,1,1,1
166341408,0,1,1,1,1,1,1
166341462,0,1,0,1,1,1,1
166341495,0,1,0,0,1,1,1
166341535,0,1,0,1,1,1,1
166341752,0,1,1,1,1,1,1
166341787,0,1,0,1,1,1,1
166341821,0,1,0,0,1,1,1
166341847,0,1,0,1,1,1,1
166342095,0,1,1,1,1,1,1
166342133,0,1,0,1,1,1,1
166342167,0,1,0,0,1,1,1
166342191,0,1,0,1,1,1,1
166342439,0,1,1,1,1,1,1
166342479,0,1,0,1,1,1,1
166342512,0,1,0,0,1,1,1
166342566,0,1,0,1,1,1,1
166343001,0,1,1,1,1,1,1
166343048,0,1,0,1,1,1,1
166343082,0,1,0,0,1,1,1
166343128,0,1,0,1,1,1,1
166343260,0,1,1,1,1,1,1
166343345,2,1,1,1,1,1,1
166343394,2,1,0,1,1,1,1
166343428,2,1,0,0,1,1,1
166343472,2,1,0,1,1,1,1
166343612,2,1,1,1,1,1,1
166343689,0,1,1,1,1,1,1
166343740,0,1,0,1,1,1,1
166343774,0,1,0,0,1,1,1
166343815,0,1,0,1,1,1,1
166343891,0,1,1,1,1,1,1
166345633,0,0,1,1,1,1,1
166352008,0,2,1,1,1,1,1
166352094,33,2,1,1,1,1,1
166352136,33,2,0,1,1,1,1
166352170,33,2,0,0,1,1,1
166352220,33,2,0,1,1,1,1
166352320,33,2,1,1,1,1,1
166352329,35,2,1,1,1,1,1
166352406,2,2,1,1,1,1,1
166352441,2,2,0,1,1,1,1
166352475,2,2,0,0,1,1,1
166352501,2,2,0,1,1,1,1
166352633,2,2,1,1,1,1,1
166352641,90,2,1,1,1,1,1
166352718,88,2,1,1,1,1,1
166352767,88,2,0,1,1,1,1
166352801,88,2,0,0,1,1,1
166352845,88,2,0,1,1,1,1
166352954,88,2,1,1,1,1,1
166353031,0,2,1,1,1,1,1
166353072,0,2,0,1,1,1,1
166353106,0,2,0,0,1,1,1
166353157,0,2,0,1,1,1,1
166353258,0,2,1,1,1,1,1
166353259,121,2,1,1,1,1,1
166353343,125,2,1,1,1,1,1
166353398,125,2,0,1,1,1,1
166353431,125,2,0,0,1,1,1
166353470,125,2,0,1,1,1,1
166353570,125,2,1,1,1,1,1
166353579,127,2,1,1,1,1,1
166353656,42,2,1,1,1,1,1
166353703,42,2,0,1,1,1,1
166353737,42,2,0,0,1,1,1
166353782,42,2,0,1,1,1,1
166353976,42,2,1,1,1,1,1
166353977,170,2,1,1,1,1,1
166353985,234,2,1,1,1,1,1
166354062,194,2,1,1,1,1,1
166354110,194,2,0,1,1,1,1
166354143,194,2,0,0,1,1,1
166354188,194,2,0,1,1,1,1
166354289,194,2,1,1,1,1,1
166354297,250,2,1,1,1,1,1
166354374,248,2,1,1,1,1,1
166354415,248,2,0,1,1,1,1
166354449,248,2,0,0,1,1,1
166354501,248,2,0,1,1,1,1
166354602,248,2,1,1,1,1,1
166354610,252,2,1,1,1,1,1
166354687,52,2,1,1,1,1,1
166354740,52,2,0,1,1,1,1
166354774,52,2,0,0,1,1,1
166354813,52,2,0,1,1,1,1
166354914,52,2,1,1,1,1,1
166354922,53,2,1,1,1,1,1
166354923,33,2,1,1,1,1,1
166354999,1,2,1,1,1,1,1
166355046,1,2,0,1,1,1,1
166355079,1,2,0,0,1,1,1
166355126,1,2,0,1,1,1,1
166355234,1,2,1,1,1,1,1
166355311,0,2,1,1,1,1,1
166355351,0,2,0,1,1,1,1
166355385,0,2,0,0,1,1,1
166355438,0,2,0,1,1,1,1
166355632,0,2,1,1,1,1,1
166355633,8,2,1,1,1,1,1
166355718,12,2,1,1,1,1,1
166355758,12,2,0,1,1,1,1
166355791,12,2,0,0,1,1,1
166355844,12,2,0,1,1,1,1
166355945,12,2,1,1,1,1,1
166355953,173,2,1,1,1,1,1
166356030,161,2,1,1,1,1,1
166356083,161,2,0,1,1,1,1
166356117,161,2,0,0,1,1,1
166356157,161,2,0,1,1,1,1
166356257,161,2,1,1,1,1,1
166356258,171,2,1,1,1,1,1
166356266,175,2,1,1,1,1,1
166356343,47,2,1,1,1,1,1
166356388,47,2,0,1,1,1,1
