Time[20ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,0,1,1,1,0,0
1,0,0,1,1,1,0,0
2,0,0,1,1,1,0,0
3,0,0,1,1,1,0,0
4,0,0,1,1,1,0,0
5,0,0,1,1,1,0,0
6,0,0,1,1,1,0,0
118728619,0,0,1,1,1,0,0
118728621,0,0,1,1,1,0,1
118728845,0,0,1,1,1,1,1
118728846,2,0,1,1,1,1,1
118728847,0,0,1,1,1,1,1
118728850,2,0,1,1,1,1,1
118728855,0,0,1,1,1,1,1
118728872,2,0,1,1,1,1,1
118728873,6,0,1,1,1,1,1
118728874,2,0,1,1,1,1,1
118728875,18,0,1,1,1,1,1
118728876,2,0,1,1,1,1,1
118728877,26,0,1,1,1,1,1
118728878,2,0,1,1,1,1,1
118728879,26,0,1,1,1,1,1
118728880,2,0,1,1,1,1,1
118728881,26,0,1,1,1,1,1
118728886,63,0,1,1,1,1,1
118728888,127,0,1,1,1,1,1
118728889,122,0,1,1,1,1,1
118728890,2,0,1,1,1,1,1
118728891,122,0,1,1,1,1,1
118729686,255,0,1,1,1,1,1
118729687,0,0,1,1,1,1,1
118729688,0,0,1,0,1,1,1
250745741,0,0,1,1,1,1,1
250746947,0,1,1,1,1,1,1
250746981,33,1,1,1,1,1,1
250746993,33,1,0,1,1,1,1
250747006,33,1,0,0,1,1,1
250747019,33,1,0,1,1,1,1
250747088,33,1,1,1,1,1,1
250747119,0,1,1,1,1,1,1
250747130,0,1,0,1,1,1,1
250747144,0,1,0,0,1,1,1
250747157,0,1,0,1,1,1,1
250747294,0,1,1,1,1,1,1
250747305,0,1,0,1,1,1,1
250747319,0,1,0,0,1,1,1
250747332,0,1,0,1,1,1,1
250747431,0,1,1,1,1,1,1
250747443,0,1,0,1,1,1,1
250747456,0,1,0,0,1,1,1
250747469,0,1,0,1,1,1,1
250747569,0,1,1,1,1,1,1
250747593,0,1,0,1,1,1,1
250747606,0,1,0,0,1,1,1
250747619,0,1,0,1,1,1,1
