Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
7,0,1,1,1,1,1,0
260961027,0,1,1,1,1,1,0
260965268,0,1,1,1,1,1,1
260965353,33,1,1,1,1,1,1
260965376,33,1,0,1,1,1,1
260965410,33,1,0,0,1,1,1
260965448,33,1,0,1,1,1,1
260965714,33,1,1,1,1,1,1
260965791,1,1,1,1,1,1,1
260965813,1,1,0,1,1,1,1
260965847,1,1,0,0,1,1,1
260965886,1,1,0,1,1,1,1
260966049,1,1,1,1,1,1,1
260966134,137,1,1,1,1,1,1
260966157,137,1,0,1,1,1,1
260966191,137,1,0,0,1,1,1
260966230,137,1,0,1,1,1,1
260966393,137,1,1,1,1,1,1
260966401,239,1,1,1,1,1,1
260966402,231,1,1,1,1,1,1
260966478,103,1,1,1,1,1,1
260966501,103,1,0,1,1,1,1
260966535,103,1,0,0,1,1,1
260966573,103,1,0,1,1,1,1
260966745,103,1,1,1,1,1,1
260966822,69,1,1,1,1,1,1
260966844,69,1,0,1,1,1,1
260966878,69,1,0,0,1,1,1
260966917,69,1,0,1,1,1,1
260967080,69,1,1,1,1,1,1
260967088,103,1,1,1,1,1,1
260967089,99,1,1,1,1,1,1
260967165,35,1,1,1,1,1,1
260967188,35,1,0,1,1,1,1
260967222,35,1,0,0,1,1,1
260967261,35,1,0,1,1,1,1
260967651,35,1,1,1,1,1,1
260967728,0,1,1,1,1,1,1
260967750,0,1,0,1,1,1,1
260967784,0,1,0,0,1,1,1
260967823,0,1,0,1,1,1,1
260967986,0,1,1,1,1,1,1
260968071,2,1,1,1,1,1,1
260968094,2,1,0,1,1,1,1
260968128,2,1,0,0,1,1,1
260968167,2,1,0,1,1,1,1
260968338,2,1,1,1,1,1,1
260968415,0,1,1,1,1,1,1
260968438,0,1,0,1,1,1,1
260968472,0,1,0,0,1,1,1
260968510,0,1,0,1,1,1,1
260971149,0,1,1,1,1,1,1
260971150,0,1,1,1,0,1,1
260971151,0,0,1,1,0,1,1
261037131,0,0,1,1,1,1,1
261037132,0,7,1,1,1,1,1
261041533,0,7,1,1,0,1,1
261041538,0,7,1,1,0,1,0
261041962,45,7,1,1,0,1,0
261042023,45,7,0,1,0,1,0
261042026,4,7,0,0,0,1,0
261042033,5,7,0,1,0,1,0
261042067,5,7,0,0,0,1,0
261042120,5,7,0,1,0,1,0
261042900,5,7,1,1,0,1,0
261042960,5,7,0,1,0,1,0
261042961,1,7,0,1,0,1,0
261042962,129,7,0,0,0,1,0
261042970,129,7,0,1,0,1,0
261043005,129,7,0,0,0,1,0
261043058,129,7,0,1,0,1,0
261045691,129,7,1,1,0,1,0
261045693,129,0,1,1,0,1,0
261045695,129,0,1,0,0,1,0
261045696,129,0,1,1,0,1,0
261047998,129,0,1,1,1,1,0
261047999,128,0,1,1,1,1,0
261048020,129,0,1,1,1,1,0
261048021,128,0,1,1,1,1,0
261048028,129,0,1,1,1,1,0
261048031,128,0,1,1,1,1,0
261048034,129,0,1,1,1,1,0
261048035,128,0,1,1,1,1,0
261048036,129,0,1,1,1,1,0
261048037,128,0,1,1,1,1,0
261048038,129,0,1,1,1,1,0
261048040,128,0,1,1,1,1,0
261048041,129,0,1,1,1,1,0
261048042,128,0,1,1,1,1,0
261048044,129,0,1,1,1,1,0
261048045,128,0,1,1,1,1,0
261048046,129,0,1,1,1,1,0
261048047,128,0,1,1,1,1,0
261048048,129,0,1,1,1,1,0
261048049,128,0,1,1,1,1,0
261048051,129,0,1,1,1,1,0
261048055,128,0,1,1,1,1,0
261048058,129,0,1,1,1,1,0
261048062,128,0,1,1,1,1,0
261048063,129,0,1,1,1,1,0
261048064,128,0,1,1,1,1,0
261048065,129,0,1,1,1,1,0
261048067,128,0,1,1,1,1,0
261048068,129,0,1,1,1,1,0
261048074,128,0,1,1,1,1,0
261048075,129,0,1,1,1,1,0
261048094,128,0,1,1,1,1,0
261048095,129,0,1,1,1,1,0
261048249,128,0,1,1,1,1,0
261048250,0,0,1,1,1,1,0
261048270,128,0,1,1,1,1,0
261048271,0,0,1,1,1,1,0
261048274,128,0,1,1,1,1,0
261048275,0,0,1,1,1,1,0
261048280,128,0,1,1,1,1,0
261048281,0,0,1,1,1,1,0
261048284,128,0,1,1,1,1,0
261048285,0,0,1,1,1,1,0
261048288,128,0,1,1,1,1,0
261048289,0,0,1,1,1,1,0
261048290,128,0,1,1,1,1,0
261048291,0,0,1,1,1,1,0
261048297,128,0,1,1,1,1,0
261048298,0,0,1,1,1,1,0
261048301,128,0,1,1,1,1,0
261048303,0,0,1,1,1,1,0
