Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
120979114,0,1,1,1,1,1,0
120983355,0,1,1,1,1,1,1
120983440,33,1,1,1,1,1,1
120983478,33,1,0,1,1,1,1
120983513,33,1,0,0,1,1,1
120983566,33,1,0,1,1,1,1
120983698,33,1,1,1,1,1,1
120983707,35,1,1,1,1,1,1
120983784,2,1,1,1,1,1,1
120983822,2,1,0,1,1,1,1
120983856,2,1,0,0,1,1,1
120983910,2,1,0,1,1,1,1
120984050,2,1,1,1,1,1,1
120984127,0,1,1,1,1,1,1
120984166,0,1,0,1,1,1,1
120984200,0,1,0,0,1,1,1
120984254,0,1,0,1,1,1,1
120984565,0,1,1,1,1,1,1
120984603,0,1,0,1,1,1,1
120984637,0,1,0,0,1,1,1
120984691,0,1,0,1,1,1,1
120984908,0,1,1,1,1,1,1
120984947,0,1,0,1,1,1,1
120984981,0,1,0,0,1,1,1
120985035,0,1,0,1,1,1,1
120985252,0,1,1,1,1,1,1
120985290,0,1,0,1,1,1,1
120985325,0,1,0,0,1,1,1
120985379,0,1,0,1,1,1,1
120985721,0,1,1,1,1,1,1
120985759,0,1,0,1,1,1,1
120985793,0,1,0,0,1,1,1
120985847,0,1,0,1,1,1,1
120985979,0,1,1,1,1,1,1
120986064,2,1,1,1,1,1,1
120986103,2,1,0,1,1,1,1
120986137,2,1,0,0,1,1,1
120986191,2,1,0,1,1,1,1
120986425,2,1,1,1,1,1,1
120986502,0,1,1,1,1,1,1
120986540,0,1,0,1,1,1,1
120986574,0,1,0,0,1,1,1
120986628,0,1,0,1,1,1,1
120989314,0,1,1,1,1,1,1
120989315,0,1,1,1,0,1,1
120989316,0,0,1,1,0,1,1
121050922,0,0,1,1,1,1,1
121050923,0,5,1,1,1,1,1
121054840,0,7,1,1,0,1,1
121054844,0,7,1,1,0,1,0
121055269,129,7,1,1,0,1,0
121055314,129,7,0,1,0,1,0
121055315,0,7,0,1,0,1,0
121055317,68,7,0,1,0,1,0
121055318,68,7,0,0,0,1,0
121055319,67,7,0,1,0,1,0
121055325,3,7,0,1,0,1,0
121055359,3,7,0,0,0,1,0
121055395,3,7,0,1,0,1,0
121056206,3,7,1,1,0,1,0
121056252,3,7,0,1,0,1,0
121056262,129,7,0,1,0,1,0
121056296,129,7,0,0,0,1,0
121056333,129,7,0,1,0,1,0
121058982,129,7,1,1,0,1,0
121058983,129,3,1,1,0,1,0
121058985,129,0,1,1,0,1,0
121058986,129,0,1,0,0,1,0
121058987,129,0,1,1,0,1,0
121061273,129,0,1,1,1,1,0
121061275,128,0,1,1,1,1,0
121061283,129,0,1,1,1,1,0
121061284,128,0,1,1,1,1,0
121061295,129,0,1,1,1,1,0
121061296,128,0,1,1,1,1,0
121061302,129,0,1,1,1,1,0
121061303,128,0,1,1,1,1,0
121061304,129,0,1,1,1,1,0
121061306,128,0,1,1,1,1,0
121061316,129,0,1,1,1,1,0
121061317,128,0,1,1,1,1,0
121061321,129,0,1,1,1,1,0
121061322,128,0,1,1,1,1,0
121061326,129,0,1,1,1,1,0
121061327,128,0,1,1,1,1,0
121061329,129,0,1,1,1,1,0
121061334,128,0,1,1,1,1,0
121061335,129,0,1,1,1,1,0
121061338,128,0,1,1,1,1,0
121061339,129,0,1,1,1,1,0
121061340,128,0,1,1,1,1,0
121061341,129,0,1,1,1,1,0
121061342,128,0,1,1,1,1,0
121061346,129,0,1,1,1,1,0
121061349,128,0,1,1,1,1,0
121061352,129,0,1,1,1,1,0
121061358,128,0,1,1,1,1,0
121061359,129,0,1,1,1,1,0
121061375,128,0,1,1,1,1,0
121061377,129,0,1,1,1,1,0
121061380,128,0,1,1,1,1,0
121061382,129,0,1,1,1,1,0
121061400,128,0,1,1,1,1,0
121061401,129,0,1,1,1,1,0
121061411,128,0,1,1,1,1,0
121061412,129,0,1,1,1,1,0
121061587,128,0,1,1,1,1,0
121061588,0,0,1,1,1,1,0
121061594,128,0,1,1,1,1,0
121061595,0,0,1,1,1,1,0
121061597,128,0,1,1,1,1,0
121061598,0,0,1,1,1,1,0
121061603,128,0,1,1,1,1,0
121061604,0,0,1,1,1,1,0
121061606,128,0,1,1,1,1,0
121061607,0,0,1,1,1,1,0
121061611,128,0,1,1,1,1,0
121061613,0,0,1,1,1,1,0
121061617,128,0,1,1,1,1,0
121061620,0,0,1,1,1,1,0
121061621,128,0,1,1,1,1,0
121061622,0,0,1,1,1,1,0
121061623,128,0,1,1,1,1,0
121061628,0,0,1,1,1,1,0
121061630,128,0,1,1,1,1,0
121061631,0,0,1,1,1,1,0
121061632,128,0,1,1,1,1,0
121061636,0,0,1,1,1,1,0
121061638,128,0,1,1,1,1,0
121061640,0,0,1,1,1,1,0
121061641,128,0,1,1,1,1,0
121061643,0,0,1,1,1,1,0
121061644,128,0,1,1,1,1,0
121061651,0,0,1,1,1,1,0
121061652,128,0,1,1,1,1,0
121061667,0,0,1,1,1,1,0
121061668,128,0,1,1,1,1,0
121084382,0,0,1,1,1,1,0
288929732,0,1,1,1,1,1,0
288929733,0,1,1,1,1,1,0
288929734,0,1,1,1,1,1,0
288929735,0,1,1,1,1,1,0
288929736,0,1,1,1,1,1,0
288929737,0,1,1,1,1,1,0
