Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,0
1,0,1,1,1,1,1,0
2,0,1,1,1,1,1,0
3,0,1,1,1,1,1,0
4,0,1,1,1,1,1,0
5,0,1,1,1,1,1,0
6,0,1,1,1,1,1,0
218496676,0,1,1,1,1,1,0
218500917,0,1,1,1,1,1,1
218500918,1,1,1,1,1,1,1
218501003,33,1,1,1,1,1,1
218501037,33,1,0,1,1,1,1
218501071,33,1,0,0,1,1,1
218501098,33,1,0,1,1,1,1
218501269,33,1,1,1,1,1,1
218501270,32,1,1,1,1,1,1
218501347,0,1,1,1,1,1,1
218501381,0,1,0,1,1,1,1
218501415,0,1,0,0,1,1,1
218501442,0,1,0,1,1,1,1
218501690,0,1,1,1,1,1,1
218501724,0,1,0,1,1,1,1
218501758,0,1,0,0,1,1,1
218501786,0,1,0,1,1,1,1
218502128,0,1,1,1,1,1,1
218502162,0,1,0,1,1,1,1
218502196,0,1,0,0,1,1,1
218502223,0,1,0,1,1,1,1
218502471,0,1,1,1,1,1,1
218502505,0,1,0,1,1,1,1
218502539,0,1,0,0,1,1,1
218502567,0,1,0,1,1,1,1
218502815,0,1,1,1,1,1,1
218502849,0,1,0,1,1,1,1
218502883,0,1,0,0,1,1,1
218502910,0,1,0,1,1,1,1
218503284,0,1,1,1,1,1,1
218503317,0,1,0,1,1,1,1
218503352,0,1,0,0,1,1,1
218503379,0,1,0,1,1,1,1
218503635,0,1,1,1,1,1,1
218503721,2,1,1,1,1,1,1
218503755,2,1,0,1,1,1,1
218503789,2,1,0,0,1,1,1
218503816,2,1,0,1,1,1,1
218503987,2,1,1,1,1,1,1
218504065,0,1,1,1,1,1,1
218504099,0,1,0,1,1,1,1
218504133,0,1,0,0,1,1,1
218504160,0,1,0,1,1,1,1
218507029,0,1,1,1,1,1,1
218507030,0,0,1,1,0,1,1
219847711,0,0,1,1,1,1,1
219847712,0,3,1,1,1,1,1
219854387,0,3,1,1,0,1,1
219854391,0,3,1,1,0,1,0
219854816,62,3,1,1,0,1,0
219854884,62,3,0,1,0,1,0
219854885,34,3,0,0,0,1,0
219854886,34,3,0,1,0,1,0
219854889,32,3,0,1,0,1,0
219854894,33,3,0,1,0,1,0
219854928,33,3,0,0,0,1,0
219854974,33,3,0,1,0,1,0
219856410,33,3,1,1,0,1,0
219856446,33,3,0,1,0,1,0
219856447,0,3,0,1,0,1,0
219856450,2,3,0,0,0,1,0
219856456,2,3,0,1,0,1,0
219856490,2,3,0,0,0,1,0
219856536,2,3,0,1,0,1,0
219856722,2,3,1,1,0,1,0
219856758,2,3,0,1,0,1,0
219856759,0,3,0,1,0,1,0
219856761,80,3,0,1,0,1,0
219856768,88,3,0,1,0,1,0
219856802,88,3,0,0,0,1,0
219856848,88,3,0,1,0,1,0
219857034,88,3,1,1,0,1,0
219857071,88,3,0,1,0,1,0
219857072,0,3,0,0,0,1,0
219857073,0,3,0,1,0,1,0
219857074,0,3,0,0,0,1,0
219857081,0,3,0,1,0,1,0
219857115,0,3,0,0,0,1,0
219857161,0,3,0,1,0,1,0
219857441,0,3,1,1,0,1,0
219857478,0,3,0,1,0,1,0
219857487,125,3,0,1,0,1,0
219857521,125,3,0,0,0,1,0
219857567,125,3,0,1,0,1,0
219857753,125,3,1,1,0,1,0
219857789,125,3,0,1,0,1,0
219857790,40,3,0,1,0,1,0
219857792,42,3,0,0,0,1,0
219857799,42,3,0,1,0,1,0
219857833,42,3,0,0,0,1,0
219857879,42,3,0,1,0,1,0
219858065,42,3,1,1,0,1,0
219858102,42,3,0,1,0,1,0
219858104,194,3,0,0,0,1,0
219858112,194,3,0,1,0,1,0
219858146,194,3,0,0,0,1,0
219858192,194,3,0,1,0,1,0
219858378,194,3,1,1,0,1,0
219858414,194,3,0,1,0,1,0
219858415,192,3,0,1,0,1,0
219858424,248,3,0,1,0,1,0
219858458,248,3,0,0,0,1,0
219858504,248,3,0,1,0,1,0
219858690,248,3,1,1,0,1,0
219858727,248,3,0,1,0,1,0
219858728,48,3,0,0,0,1,0
219858736,52,3,0,1,0,1,0
219858771,52,3,0,0,0,1,0
219858817,52,3,0,1,0,1,0
219859003,52,3,1,1,0,1,0
219859039,52,3,0,1,0,1,0
219859042,1,3,0,0,0,1,0
219859049,1,3,0,1,0,1,0
219859083,1,3,0,0,0,1,0
219859129,1,3,0,1,0,1,0
219859409,1,3,1,1,0,1,0
219859445,1,3,0,1,0,1,0
219859455,0,3,0,1,0,1,0
219859489,0,3,0,0,0,1,0
219859535,0,3,0,1,0,1,0
219859721,0,3,1,1,0,1,0
219859758,0,3,0,1,0,1,0
219859767,12,3,0,1,0,1,0
219859802,12,3,0,0,0,1,0
219859848,12,3,0,1,0,1,0
219860034,12,3,1,1,0,1,0
