Time[20ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,178,1,1,1,1,1,1
1,178,1,1,1,1,1,1
2,178,1,1,1,1,1,1
3,178,1,1,1,1,1,1
4,178,1,1,1,1,1,1
5,178,1,1,1,1,1,1
6,178,1,1,1,1,1,1
699383482,178,1,1,1,1,1,1
699383513,34,1,1,1,1,1,1
699383522,34,1,0,1,1,1,1
699383536,34,1,0,0,1,1,1
699383551,34,1,0,1,1,1,1
699383607,34,1,1,1,1,1,1
699383638,0,1,1,1,1,1,1
699383647,0,1,0,1,1,1,1
699383661,0,1,0,0,1,1,1
699383676,0,1,0,1,1,1,1
699383766,0,1,1,1,1,1,1
699383800,201,1,1,1,1,1,1
699383810,201,1,0,1,1,1,1
699383824,201,1,0,0,1,1,1
699383838,201,1,0,1,1,1,1
699383891,201,1,1,1,1,1,1
699383894,251,1,1,1,1,1,1
699383895,250,1,1,1,1,1,1
699383925,50,1,1,1,1,1,1
699383935,50,1,0,1,1,1,1
699383948,50,1,0,0,1,1,1
699383963,50,1,0,1,1,1,1
699384019,50,1,1,1,1,1,1
699384020,0,1,1,1,1,1,1
699384021,0,1,1,0,1,1,1
699384050,0,1,1,1,1,1,1
699384060,0,1,0,1,1,1,1
699384073,0,1,0,0,1,1,1
699384088,0,1,0,1,1,1,1
699384175,0,1,1,1,1,1,1
699384185,0,1,0,1,1,1,1
699384198,0,1,0,0,1,1,1
699384213,0,1,0,1,1,1,1
699384300,0,1,1,1,1,1,1
699384310,0,1,0,1,1,1,1
699384323,0,1,0,0,1,1,1
699384338,0,1,0,1,1,1,1
699384391,0,1,1,1,1,1,1
699384425,2,1,1,1,1,1,1
699384435,2,1,0,1,1,1,1
699384448,2,1,0,0,1,1,1
699384463,2,1,0,1,1,1,1
699384557,2,1,1,1,1,1,1
699384588,0,1,1,1,1,1,1
699384597,0,1,0,1,1,1,1
699384611,0,1,0,0,1,1,1
699384626,0,1,0,1,1,1,1
699385832,0,1,1,1,1,1,1
699398916,0,0,1,1,1,1,1
699400625,0,2,1,1,1,1,1
699400659,99,2,1,1,1,1,1
699400668,99,2,0,1,1,1,1
699400681,99,2,0,0,1,1,1
699400697,99,2,0,1,1,1,1
699400750,99,2,1,1,1,1,1
699400753,115,2,1,1,1,1,1
699400784,112,2,1,1,1,1,1
699400792,112,2,0,1,1,1,1
699400806,112,2,0,0,1,1,1
699400822,112,2,0,1,1,1,1
699400878,112,2,1,1,1,1,1
699400909,0,2,1,1,1,1,1
699400918,0,2,0,1,1,1,1
699400931,0,2,0,0,1,1,1
699400947,0,2,0,1,1,1,1
699401037,0,2,1,1,1,1,1
699401038,1,2,1,1,1,1,1
699401072,115,2,1,1,1,1,1
699401080,115,2,0,1,1,1,1
699401094,115,2,0,0,1,1,1
699401110,115,2,0,1,1,1,1
699401166,115,2,1,1,1,1,1
699401197,97,2,1,1,1,1,1
699401205,97,2,0,1,1,1,1
699401219,97,2,0,0,1,1,1
699401235,97,2,0,1,1,1,1
699401287,97,2,1,1,1,1,1
699401288,107,2,1,1,1,1,1
699401291,111,2,1,1,1,1,1
699401322,46,2,1,1,1,1,1
699401330,46,2,0,1,1,1,1
699401343,46,2,0,0,1,1,1
699401360,46,2,0,1,1,1,1
699401412,46,2,1,1,1,1,1
699401413,47,2,1,1,1,1,1
699401416,127,2,1,1,1,1,1
699401417,115,2,1,0,1,1,1
699401447,115,2,1,1,1,1,1
699401455,115,2,0,1,1,1,1
699401468,115,2,0,0,1,1,1
699401485,115,2,0,1,1,1,1
699401537,115,2,1,1,1,1,1
699401541,123,2,1,1,1,1,1
699401572,104,2,1,1,1,1,1
699401580,104,2,0,1,1,1,1
699401593,104,2,0,0,1,1,1
699401610,104,2,0,1,1,1,1
699401662,104,2,1,1,1,1,1
699401697,105,2,1,1,1,1,1
699401705,105,2,0,1,1,1,1
699401718,105,2,0,0,1,1,1
699401735,105,2,0,1,1,1,1
699401825,105,2,1,1,1,1,1
699401828,121,2,1,1,1,1,1
699401859,112,2,1,1,1,1,1
699401867,112,2,0,1,1,1,1
699401881,112,2,0,0,1,1,1
699401897,112,2,0,1,1,1,1
699401950,112,2,1,1,1,1,1
699401953,116,2,1,1,1,1,1
699401984,100,2,1,1,1,1,1
699401992,100,2,0,1,1,1,1
699402006,100,2,0,0,1,1,1
699402022,100,2,0,1,1,1,1
699402075,100,2,1,1,1,1,1
699402078,109,2,1,1,1,1,1
699402109,105,2,1,1,1,1,1
699402117,105,2,0,1,1,1,1
699402131,105,2,0,0,1,1,1
699402147,105,2,0,1,1,1,1
699402200,105,2,1,1,1,1,1
699402203,123,2,1,1,1,1,1
699402234,115,2,1,1,1,1,1
699402242,115,2,0,1,1,1,1
699402256,115,2,0,0,1,1,1
699402272,115,2,0,1,1,1,1
699402325,115,2,1,1,1,1,1
699402328,123,2,1,1,1,1,1
699402359,107,2,1,1,1,1,1
699402367,107,2,0,1,1,1,1
699402381,107,2,0,0,1,1,1
699402397,107,2,0,1,1,1,1
699402490,107,2,1,1,1,1,1
699402491,106,2,1,1,1,1,1
699402521,0,2,1,1,1,1,1
699402530,0,2,0,1,1,1,1
699402543,0,2,0,0,1,1,1
699402559,0,2,0,1,1,1,1
699402612,0,2,1,1,1,1,1
699402646,115,2,1,1,1,1,1
699402654,115,2,0,1,1,1,1
699402668,115,2,0,0,1,1,1
699402684,115,2,0,1,1,1,1
699402740,115,2,1,1,1,1,1
699402741,113,2,1,1,1,1,1
699402771,97,2,1,1,1,1,1
699402779,97,2,0,1,1,1,1
699402793,97,2,0,0,1,1,1
699402809,97,2,0,1,1,1,1
699402862,97,2,1,1,1,1,1
699402865,111,2,1,1,1,1,1
699402866,110,2,1,1,1,1,1
699402896,46,2,1,1,1,1,1
699402904,46,2,0,1,1,1,1
699402918,46,2,0,0,1,1,1
699402934,46,2,0,1,1,1,1
699402987,46,2,1,1,1,1,1
699402990,110,2,1,1,1,1,1
699403021,104,2,1,1,1,1,1
699403029,104,2,0,1,1,1,1
699403043,104,2,0,0,1,1,1
