Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,1,1,1,1,1,1
1,0,1,1,1,1,1,1
2,0,1,1,1,1,1,1
3,0,1,1,1,1,1,1
4,0,1,1,1,1,1,1
5,0,1,1,1,1,1,1
6,0,1,1,1,1,1,1
236917301,0,1,1,1,1,1,1
236917323,0,1,1,1,1,0,1
236917324,0,0,1,1,0,0,1
236921768,0,0,1,1,1,0,1
236921769,81,0,1,1,1,0,1
236924652,85,0,1,1,1,0,1
236924655,87,0,1,1,1,0,1
236924672,85,0,1,1,1,0,1
236924691,87,0,1,1,1,0,1
236924695,85,0,1,1,1,0,1
236924730,87,0,1,1,1,0,1
236924732,95,0,1,1,1,0,1
236924735,87,0,1,1,1,0,1
236924740,95,0,1,1,1,0,1
236924742,127,0,1,1,1,0,1
236924745,87,0,1,1,1,0,1
236924746,95,0,1,1,1,0,1
236924753,127,0,1,1,1,0,1
236924756,95,0,1,1,1,0,1
236924791,127,0,1,1,1,0,1
236925011,255,0,1,1,1,0,1
236925030,127,0,1,1,1,0,1
236926111,255,0,1,1,1,0,1
236926113,85,0,1,1,1,0,1
236926114,85,0,1,0,1,0,1
236926986,85,0,1,1,1,0,1
236926994,255,0,1,1,1,0,1
236926995,250,0,1,1,1,0,1
236930033,170,0,1,1,1,0,1
236930035,186,0,1,1,1,0,1
236930039,170,0,1,1,1,0,1
236930041,186,0,1,1,1,0,1
236930043,187,0,1,1,1,0,1
236930045,171,0,1,1,1,0,1
236930047,170,0,1,1,1,0,1
236930048,186,0,1,1,1,0,1
236930051,187,0,1,1,1,0,1
236930063,191,0,1,1,1,0,1
236930065,187,0,1,1,1,0,1
236930068,186,0,1,1,1,0,1
236930076,187,0,1,1,1,0,1
236930092,191,0,1,1,1,0,1
236930109,255,0,1,1,1,0,1
236930113,191,0,1,1,1,0,1
236930119,255,0,1,1,1,0,1
236930122,191,0,1,1,1,0,1
236932799,255,0,1,1,1,0,1
236932812,255,0,1,1,1,0,0
236932815,255,0,1,1,1,0,1
236932820,255,0,1,1,1,0,0
236932821,255,0,1,1,1,0,1
236933047,255,0,1,1,1,0,0
236933921,255,0,1,1,1,0,1
236935139,255,0,1,1,1,0,0
236935140,191,0,1,1,1,0,0
236935153,255,0,1,1,1,0,0
236935154,191,0,1,1,1,0,0
236935156,255,0,1,1,1,0,0
236935157,191,0,1,1,1,0,0
236935163,255,0,1,1,1,0,0
236935164,191,0,1,1,1,0,0
236935166,255,0,1,1,1,0,0
236935167,191,0,1,1,1,0,0
236935168,255,0,1,1,1,0,0
236935169,191,0,1,1,1,0,0
236935172,175,0,1,1,1,0,0
236935177,191,0,1,1,1,0,0
236935178,175,0,1,1,1,0,0
236935179,191,0,1,1,1,0,0
236935181,175,0,1,1,1,0,0
236935185,191,0,1,1,1,0,0
236935188,175,0,1,1,1,0,0
236935190,191,0,1,1,1,0,0
236935191,175,0,1,1,1,0,0
236935194,191,0,1,1,1,0,0
236935197,175,0,1,1,1,0,0
236935198,191,0,1,1,1,0,0
236935200,175,0,1,1,1,0,0
236935201,191,0,1,1,1,0,0
236935202,47,0,1,1,1,0,0
236935206,175,0,1,1,1,0,0
236935207,191,0,1,1,1,0,0
236935209,175,0,1,1,1,0,0
236935210,191,0,1,1,1,0,0
236935218,175,0,1,1,1,0,0
236935219,191,0,1,1,1,0,0
236935259,175,0,1,1,1,0,0
236935260,47,0,1,1,1,0,0
236935261,175,0,1,1,1,0,0
236935263,47,0,1,1,1,0,0
236935264,175,0,1,1,1,0,0
236935266,47,0,1,1,1,0,0
236935267,175,0,1,1,1,0,0
236935270,47,0,1,1,1,0,0
236935271,175,0,1,1,1,0,0
236935282,47,0,1,1,1,0,0
236935283,175,0,1,1,1,0,0
236935287,47,0,1,1,1,0,0
236935288,175,0,1,1,1,0,0
236935293,47,0,1,1,1,0,0
236935294,45,0,1,1,1,0,0
236935303,47,0,1,1,1,0,0
236935305,45,0,1,1,1,0,0
236935310,47,0,1,1,1,0,0
236935311,45,0,1,1,1,0,0
236935313,47,0,1,1,1,0,0
236935314,45,0,1,1,1,0,0
236935315,47,0,1,1,1,0,0
236935316,45,0,1,1,1,0,0
236935317,47,0,1,1,1,0,0
236935318,45,0,1,1,1,0,0
236935319,47,0,1,1,1,0,0
236935323,45,0,1,1,1,0,0
236935324,47,0,1,1,1,0,0
236935328,45,0,1,1,1,0,0
236935329,47,0,1,1,1,0,0
236935330,45,0,1,1,1,0,0
236935331,47,0,1,1,1,0,0
236935335,45,0,1,1,1,0,0
236935336,47,0,1,1,1,0,0
236935339,45,0,1,1,1,0,0
236935341,47,0,1,1,1,0,0
236935359,45,0,1,1,1,0,0
236935360,47,0,1,1,1,0,0
236935391,45,0,1,1,1,0,0
236935392,37,0,1,1,1,0,0
236935394,45,0,1,1,1,0,0
236935395,37,0,1,1,1,0,0
236935397,45,0,1,1,1,0,0
236935399,37,0,1,1,1,0,0
236935403,45,0,1,1,1,0,0
236935404,37,0,1,1,1,0,0
236935409,45,0,1,1,1,0,0
236935410,33,0,1,1,1,0,0
236935411,45,0,1,1,1,0,0
