Time[8ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,0,1,1,1,0,0
1,0,0,1,1,1,0,0
2,0,0,1,1,1,0,0
3,0,0,1,1,1,0,0
4,0,0,1,1,1,0,0
5,0,0,1,1,1,0,0
6,0,0,1,1,1,0,0
1592214438,0,0,1,1,1,0,0
1592214443,0,0,1,1,1,0,1
1592215005,0,0,1,1,1,1,1
1592215008,2,0,1,1,1,1,1
1592215011,0,0,1,1,1,1,1
1592215015,2,0,1,1,1,1,1
1592215028,0,0,1,1,1,1,1
1592215049,2,0,1,1,1,1,1
1592215052,0,0,1,1,1,1,1
1592215075,2,0,1,1,1,1,1
1592215077,6,0,1,1,1,1,1
1592215080,2,0,1,1,1,1,1
1592215082,18,0,1,1,1,1,1
1592215084,2,0,1,1,1,1,1
1592215086,18,0,1,1,1,1,1
1592215088,2,0,1,1,1,1,1
1592215089,2,0,1,0,1,1,1
1592215091,26,0,1,1,1,1,1
1592215093,2,0,1,1,1,1,1
1592215094,10,0,1,1,1,1,1
1592215095,30,0,1,1,1,1,1
1592215096,62,0,1,1,1,1,1
1592215099,63,0,1,1,1,1,1
1592215104,127,0,1,1,1,1,1
1592215105,63,0,1,1,1,1,1
1592215106,62,0,1,1,1,1,1
1592215107,54,0,1,1,1,1,1
1592215108,118,0,1,1,1,1,1
1592215109,82,0,1,0,1,1,1
1592215110,66,0,1,0,1,1,1
1592215111,2,0,1,0,1,1,1
1592215112,34,0,1,0,1,1,1
1592215113,58,0,1,1,0,1,1
1592215114,123,0,1,1,1,1,1
1592215115,251,0,1,1,1,1,1
1592215123,255,0,1,1,1,1,1
1592215124,127,0,1,1,1,1,1
1592215127,63,0,1,1,1,1,1
1592215129,127,0,1,1,1,1,1
1592215147,255,0,1,1,1,1,1
1592215263,127,0,1,1,1,1,1
1592215373,255,0,1,1,1,1,1
1592215376,127,0,1,1,1,1,1
1592216076,255,0,1,1,1,1,1
1592216077,144,0,1,1,1,1,1
1592216080,0,0,1,0,1,1,1
