Time[20ns],Data[7:0],Status[2:0],/RDY,/ASTB,/TR,/RST,/TE
0,0,0,1,1,1,0,0
1,0,0,1,1,1,0,0
2,0,0,1,1,1,0,0
3,0,0,1,1,1,0,0
4,0,0,1,1,1,0,0
5,0,0,1,1,1,0,0
6,0,0,1,1,1,0,0
493502346,0,0,1,1,1,0,0
493502348,0,0,1,1,1,0,1
493502571,0,0,1,1,1,1,1
493502573,2,0,1,1,1,1,1
493502574,0,0,1,1,1,1,1
493502577,2,0,1,1,1,1,1
493502582,0,0,1,1,1,1,1
493502599,2,0,1,1,1,1,1
493502600,6,0,1,1,1,1,1
493502601,2,0,1,1,1,1,1
493502602,18,0,1,1,1,1,1
493502603,2,0,1,1,1,1,1
493502604,82,0,1,1,1,1,1
493502605,2,0,1,1,1,1,1
493502606,122,0,1,1,1,1,1
493502607,251,0,1,1,1,1,1
493502608,131,0,1,1,1,1,1
493502609,62,0,1,1,1,1,1
493502612,255,0,1,1,1,1,1
493502613,22,0,1,1,1,1,1
493502614,42,0,1,0,1,1,1
493502616,255,0,1,1,1,1,1
493502618,251,0,1,1,1,1,1
493502630,255,0,1,1,1,1,1
493502663,127,0,1,1,1,1,1
493502670,255,0,1,1,1,1,1
493502672,127,0,1,1,1,1,1
493503001,255,0,1,1,1,1,1
493503002,0,0,1,1,1,1,1
493503003,0,0,1,0,1,1,1
625631223,0,0,1,1,1,1,1
625632241,0,1,1,1,1,1,1
625632275,40,1,1,1,1,1,1
625632287,40,1,0,1,1,1,1
625632301,40,1,0,0,1,1,1
625632313,40,1,0,1,1,1,1
625632395,40,1,1,1,1,1,1
625632425,0,1,1,1,1,1,1
625632437,0,1,0,1,1,1,1
625632451,0,1,0,0,1,1,1
625632463,0,1,0,1,1,1,1
625632575,0,1,1,1,1,1,1
625632587,0,1,0,1,1,1,1
625632601,0,1,0,0,1,1,1
625632613,0,1,0,1,1,1,1
625632725,0,1,1,1,1,1,1
625632737,0,1,0,1,1,1,1
625632751,0,1,0,0,1,1,1
